ablation,n_features,mean_logloss,std_logloss
A_elo_only,39,0.6409193074156028,0.0237673015383692
A+B,75,0.637731985081842,0.024271849517901876
A+B+C,183,0.6361603940719268,0.027417504464183798
A+B+C+thresholds,183,0.6361603940719268,0.027417504464183798
Tier1,192,0.6363838020090317,0.027711535104817855
Tier1+thresholds,192,0.6363838020090317,0.027711535104817855
Tier1+2_no_style,225,0.6345342194093034,0.028092284085210143
Tier1+2_with_style,240,0.6343396892059412,0.02809595700998825
Tier1+2+interactions,231,0.6344505735508658,0.02802652639752704
Full,246,0.634297556175863,0.028082412827058888
